epoch,accuracy,loss,val_accuracy,val_loss
0,0.1867043823003769,3.2886509895324707,0.22033898532390594,2.394584894180298
1,0.26308345794677734,2.35550856590271,0.26553672552108765,2.3049774169921875
2,0.2970297038555145,2.2150416374206543,0.3050847351551056,2.169924736022949
3,0.34512022137641907,2.0735037326812744,0.35593220591545105,1.8917312622070312
4,0.3677510619163513,1.879217267036438,0.4237288236618042,1.937292218208313
5,0.4214992821216583,1.828644871711731,0.48022598028182983,1.5871449708938599
6,0.47949081659317017,1.624805212020874,0.5310734510421753,1.5624593496322632
7,0.5176803469657898,1.4733082056045532,0.5649717450141907,1.5420598983764648
8,0.5954738259315491,1.2772774696350098,0.5706214904785156,1.2495369911193848
9,0.6223479509353638,1.1850273609161377,0.47457626461982727,1.6819040775299072
10,0.6492220759391785,1.1062718629837036,0.47457626461982727,1.59305739402771
11,0.7086279988288879,0.862948477268219,0.6723163723945618,1.247390627861023
12,0.7567185163497925,0.826751172542572,0.6440678238868713,1.1878149509429932
13,0.7213578224182129,0.8751668930053711,0.6497175097465515,1.1156554222106934
14,0.7581329345703125,0.7554824352264404,0.7231638431549072,1.0252265930175781
15,0.7835926413536072,0.7219674587249756,0.4971751272678375,2.219101667404175
16,0.7864214777946472,0.7025722861289978,0.694915235042572,0.9291667938232422
17,0.8415841460227966,0.5088165998458862,0.7570621371269226,0.8701550364494324
18,0.893917977809906,0.338583379983902,0.6666666865348816,1.042135238647461
19,0.8854314088821411,0.3710484206676483,0.7288135886192322,1.7602441310882568
20,0.8811880946159363,0.33422985672950745,0.7966101765632629,1.0156480073928833
21,0.8995756506919861,0.3190930187702179,0.7570621371269226,1.2399141788482666
22,0.8868458271026611,0.39712467789649963,0.7344632744789124,1.048120141029358
23,0.8910890817642212,0.31250810623168945,0.7344632744789124,1.259037733078003
24,0.9108911156654358,0.31671997904777527,0.7514124512672424,1.373919129371643
25,0.8486562967300415,0.4637852907180786,0.7118644118309021,0.9377851486206055
26,0.9179632067680359,0.2709457576274872,0.7514124512672424,1.7889395952224731
27,0.7298443913459778,0.9434422254562378,0.6836158037185669,1.076357364654541
28,0.8783592581748962,0.4314565360546112,0.7118644118309021,1.1210110187530518
29,0.9193776249885559,0.33295804262161255,0.7175140976905823,1.0547966957092285
